"범죄별(1)","범죄별(2)",범죄별(3),발생지역별(1),2020
"형법범 (건)","재산범죄",손괴,계,58504
"형법범 (건)","재산범죄",손괴,서울,10514
"형법범 (건)","재산범죄",손괴,부산,3757
"형법범 (건)","재산범죄",손괴,대구,2822
"형법범 (건)","재산범죄",손괴,인천,3383
"형법범 (건)","재산범죄",손괴,광주,1467
"형법범 (건)","재산범죄",손괴,대전,1645
"형법범 (건)","재산범죄",손괴,울산,736
"형법범 (건)","재산범죄",손괴,세종,241
"형법범 (건)","재산범죄",손괴,경기,15669
"형법범 (건)","재산범죄",손괴,강원,1813
"형법범 (건)","재산범죄",손괴,충북,1915
"형법범 (건)","재산범죄",손괴,충남,2615
"형법범 (건)","재산범죄",손괴,전북,1639
"형법범 (건)","재산범죄",손괴,전남,2043
"형법범 (건)","재산범죄",손괴,경북,2996
"형법범 (건)","재산범죄",손괴,경남,3961
"형법범 (건)","재산범죄",손괴,제주,1288
"형법범 (건)","강력범죄(흉악)",소계,계,32812
"형법범 (건)","강력범죄(흉악)",소계,서울,8814
"형법범 (건)","강력범죄(흉악)",소계,부산,2123
"형법범 (건)","강력범죄(흉악)",소계,대구,1218
"형법범 (건)","강력범죄(흉악)",소계,인천,2031
"형법범 (건)","강력범죄(흉악)",소계,광주,855
"형법범 (건)","강력범죄(흉악)",소계,대전,993
"형법범 (건)","강력범죄(흉악)",소계,울산,357
"형법범 (건)","강력범죄(흉악)",소계,세종,118
"형법범 (건)","강력범죄(흉악)",소계,경기,7790
"형법범 (건)","강력범죄(흉악)",소계,강원,864
"형법범 (건)","강력범죄(흉악)",소계,충북,898
"형법범 (건)","강력범죄(흉악)",소계,충남,1182
"형법범 (건)","강력범죄(흉악)",소계,전북,974
"형법범 (건)","강력범죄(흉악)",소계,전남,980
"형법범 (건)","강력범죄(흉악)",소계,경북,1215
"형법범 (건)","강력범죄(흉악)",소계,경남,1841
"형법범 (건)","강력범죄(흉악)",소계,제주,559
"형법범 (건)","강력범죄(흉악)",살인,계,805
"형법범 (건)","강력범죄(흉악)",살인,서울,168
"형법범 (건)","강력범죄(흉악)",살인,부산,60
"형법범 (건)","강력범죄(흉악)",살인,대구,32
"형법범 (건)","강력범죄(흉악)",살인,인천,36
"형법범 (건)","강력범죄(흉악)",살인,광주,15
"형법범 (건)","강력범죄(흉악)",살인,대전,23
"형법범 (건)","강력범죄(흉악)",살인,울산,8
"형법범 (건)","강력범죄(흉악)",살인,세종,8
"형법범 (건)","강력범죄(흉악)",살인,경기,173
"형법범 (건)","강력범죄(흉악)",살인,강원,37
"형법범 (건)","강력범죄(흉악)",살인,충북,19
"형법범 (건)","강력범죄(흉악)",살인,충남,36
"형법범 (건)","강력범죄(흉악)",살인,전북,35
"형법범 (건)","강력범죄(흉악)",살인,전남,39
"형법범 (건)","강력범죄(흉악)",살인,경북,31
"형법범 (건)","강력범죄(흉악)",살인,경남,68
"형법범 (건)","강력범죄(흉악)",살인,제주,17
"형법범 (건)","강력범죄(흉악)",강도,계,692
"형법범 (건)","강력범죄(흉악)",강도,서울,143
"형법범 (건)","강력범죄(흉악)",강도,부산,39
"형법범 (건)","강력범죄(흉악)",강도,대구,35
"형법범 (건)","강력범죄(흉악)",강도,인천,46
"형법범 (건)","강력범죄(흉악)",강도,광주,34
"형법범 (건)","강력범죄(흉악)",강도,대전,15
"형법범 (건)","강력범죄(흉악)",강도,울산,9
"형법범 (건)","강력범죄(흉악)",강도,세종,2
"형법범 (건)","강력범죄(흉악)",강도,경기,161
"형법범 (건)","강력범죄(흉악)",강도,강원,21
"형법범 (건)","강력범죄(흉악)",강도,충북,28
"형법범 (건)","강력범죄(흉악)",강도,충남,41
"형법범 (건)","강력범죄(흉악)",강도,전북,19
"형법범 (건)","강력범죄(흉악)",강도,전남,14
