"죄종별","범죄발생지별","항목","단위","2016 년","2017 년","2018 년","2019 년","2020 년",
"강력범죄","의왕시","범죄건수[건]","건","36","38","42","36","37",
"강력범죄","의정부시","범죄건수[건]","건","242","265","255","256","245",
"강력범죄","이천시","범죄건수[건]","건","97","104","110","118","123",
"강력범죄","파주시","범죄건수[건]","건","145","181","162","159","130",
"강력범죄","평택시","범죄건수[건]","건","252","264","268","246","273",
"강력범죄","포천시","범죄건수[건]","건","103","83","89","87","81",
"강력범죄","하남시","범죄건수[건]","건","28","46","60","67","68",
"강력범죄","화성시","범죄건수[건]","건","195","228","212","243","243",
"강력범죄","강릉시","범죄건수[건]","건","107","112","138","121","131",
"강력범죄","동해시","범죄건수[건]","건","47","49","46","39","41",
"강력범죄","삼척시","범죄건수[건]","건","27","30","26","28","24",
"강력범죄","속초시","범죄건수[건]","건","46","46","48","38","39",
"강력범죄","원주시","범죄건수[건]","건","144","157","168","197","135",
"강력범죄","춘천시","범죄건수[건]","건","129","126","107","118","109",
"강력범죄","태백시","범죄건수[건]","건","18","21","20","31","24",
"강력범죄","제천시","범죄건수[건]","건","63","64","76","69","60",
"강력범죄","청주시","범죄건수[건]","건","370","446","432","418","389",
"강력범죄","충주시","범죄건수[건]","건","114","114","94","90","93",
"강력범죄","계룡시","범죄건수[건]","건","6","7","6","8","10",
"강력범죄","공주시","범죄건수[건]","건","59","51","53","44","51",
"강력범죄","논산시","범죄건수[건]","건","51","59","64","46","37",
"강력범죄","당진시","범죄건수[건]","건","72","76","62","74","72",
"강력범죄","보령시","범죄건수[건]","건","63","69","55","66","51",
"강력범죄","서산시","범죄건수[건]","건","85","75","66","81","77",
"강력범죄","아산시","범죄건수[건]","건","127","126","165","142","118",
"강력범죄","천안시","범죄건수[건]","건","347","325","343","328","342",
"강력범죄","군산시","범죄건수[건]","건","93","107","120","149","120",
"강력범죄","김제시","범죄건수[건]","건","24","30","38","30","34",
"강력범죄","남원시","범죄건수[건]","건","28","26","32","35","31",
"강력범죄","익산시","범죄건수[건]","건","133","104","113","119","96",
